Variable,hsim
Experiment,rcp45
Zone,Q20
Code,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1
1960-09-01,0
1960-10-01,0.9300645772021497
1960-11-01,0.15998836624439125
1960-12-01,0.07713401504176895
1961-01-01,1.0545022051611102
1961-02-01,0.1664809891622751
1961-03-01,0.15775462670505172
1961-04-01,0.41205970612555265
1961-05-01,0.1429338842672526
1961-06-01,0.13544178028702525
1961-07-01,0.1283423867011057
1961-08-01,0.12161511897753813
1961-09-01,0.11524047155493122
1961-10-01,0.10919996128652186
1961-11-01,0.10347607384870693
1961-12-01,0.09805221295865615
1962-01-01,0.6446090521012553
1962-02-01,3.429093894162684
1962-03-01,1.0120169886996673
1962-04-01,1.5104772662838108
1962-05-01,2.0402422271119076
1962-06-01,1.0650084169780205
1962-07-01,1.0091843285141717
1962-08-01,0.9562863473027541
1962-09-01,0.9061610968375255
1962-10-01,0.8586632400826523
1962-11-01,0.8136550580712435
1962-12-01,1.196627149281884
1963-01-01,0.740817336261303
1963-02-01,0.7019862323416263
1963-03-01,0.6651905217069265
1963-04-01,0.8462328745541052
1963-05-01,0.5972841191889453
1963-06-01,0.5659765342195546
1963-07-01,0.5363099854758492
1963-08-01,0.5081984554672866
1963-09-01,0.48156043544515686
1963-10-01,0.45631868906979944
1963-11-01,0.4324000284655746
1963-12-01,0.40973510201426455
1964-01-01,0.38825819327161704
1964-02-01,0.36790703042399403
1964-03-01,0.34862260573264925
1964-04-01,1.4286124392538395
1964-05-01,0.35428832053458303
1964-06-01,0.33571774190633996
1964-07-01,0.31812056931662336
1964-08-01,0.30144578015947093
1964-09-01,0.28564502625892824
1964-10-01,0.27067249368460033
1964-11-01,0.5803190631503127
1964-12-01,1.2263331596306783
1965-01-01,1.9851000002070571
1965-02-01,0.6533556650597785
1965-03-01,1.469716065725172
1965-04-01,0.7669681219312882
1965-05-01,0.7267662835184675
1965-06-01,0.6886716875914244
1965-07-01,0.6525738797264512
1965-08-01,0.6183681951418961
1965-09-01,1.4900204998731692
1965-10-01,0.7853443812993586
1965-11-01,0.5306726905122725
1965-12-01,0.5028566481709685
1966-01-01,0.47649862736604
1966-02-01,0.4515222036092564
1966-03-01,3.6814369459172394
1966-04-01,1.5725881154147205
1966-05-01,0.9078633412905489
1966-06-01,0.8602762587197874
1966-07-01,0.8151835278037335
1966-08-01,0.7724544031837473
1966-09-01,0.7319649927244598
1966-10-01,1.392863548112617
1966-11-01,0.6639202650339
1966-12-01,0.6291198418472358
1967-01-01,1.1577012570901197
1967-02-01,1.5921673724554792
1967-03-01,0.6664070042670999
1967-04-01,0.6314762347388222
1967-05-01,0.5983764163440483
1967-06-01,0.5670115769041357
1967-07-01,0.5372907747728826
1967-08-01,0.5091278351532698
1967-09-01,0.48244110023557707
1967-10-01,0.4571531924324002
1967-11-01,0.4331907900240783
1967-12-01,0.41048441456401674
1968-01-01,1.386134410997682
1968-02-01,0.43059115426054995
1968-03-01,0.4080210427910105
1968-04-01,0.38663397915398445
1968-05-01,0.3663679520396961
1968-06-01,0.3471642005585421
1968-07-01,0.3289670438652148
1968-08-01,0.31172371971334417
1968-09-01,0.2953842314725514
1968-10-01,0.2799012031643441
1968-11-01,0.441848872685131
1968-12-01,0.25132730869788106
1969-01-01,0.2381535931755735
1969-02-01,0.22567039863788088
1969-03-01,0.21384153034313097
1969-04-01,0.20263269075386964
1969-05-01,0.1920113800919228
1969-06-01,0.18194680210602093
1969-07-01,0.1724097747787613
1969-08-01,0.1633726457140053
1969-09-01,0.1548092119593781
1969-10-01,0.14669464403139765
1969-11-01,0.13900541392294624
1969-12-01,0.13171922688434312
1970-01-01,0.12481495678021953
1970-02-01,0.11827258483476451
1970-03-01,0.11207314158773503
1970-04-01,0.10619865189293265
1970-05-01,0.10063208279967176
1970-06-01,0.09535729416612222
1970-07-01,0.7823026114193063
1970-08-01,0.0856226834202355
1970-09-01,0.08113463602308334
1970-10-01,0.07688183667743435
1970-11-01,0.07285195448727992
1970-12-01,0.06903330489988785
1971-01-01,0.2502161302421279
1971-02-01,0.06259602113505455
1971-03-01,0.05931495239829888
1971-04-01,0.056205866031350506
1971-05-01,0.053259747308247396
1971-06-01,0.05046805402404381
1971-07-01,0.04782269172687928
1971-08-01,0.045315990248297654
1971-09-01,0.04294068146376615
1971-10-01,0.04068987821891188
1971-11-01,0.11113373780204924
1971-12-01,0.03653602581336235
1972-01-01,0.24474485703092697
1972-02-01,0.0385980235086345
1972-03-01,0.0365748474993878
1972-04-01,0.03465771943747903
1972-05-01,0.3251196113047474
1972-06-01,0.031119663843365168
1972-07-01,0.029488477798576277
1972-08-01,0.027942792931631284
1972-09-01,0.02647812756403862
1972-10-01,0.398899544976909
1972-11-01,0.38468559434674454
1972-12-01,0.048565720547354266
1973-01-01,0.046020072046435406
1973-02-01,0.04360785770889752
1973-03-01,0.041322083373547196
1973-04-01,0.039156121489132306
1973-05-01,0.03710369189790622
1973-06-01,0.03515884362645181
1973-07-01,0.033315937630967844
1973-08-01,0.03156963044698847
1973-09-01,0.029914858696128147
1973-10-01,0.028346824404929992
1973-11-01,0.026860981093249706
1973-12-01,0.02545302059183867
1974-01-01,0.024118860550904186
1974-02-01,0.11395507540776065
1974-03-01,0.25415057532776597
1974-04-01,0.502654240060482
1974-05-01,0.06042647787747077
1974-06-01,0.05725912915720206
1974-07-01,0.054257801993512086
1974-08-01,0.05141379410582389
1974-09-01,0.04871885935726137
1974-10-01,0.04616518384516098
1974-11-01,0.04374536324483675
1974-12-01,0.6553651771625197
