Variable,hsim
Experiment,rcp45
Zone,Q20
Code,CNRM-CERFACS-CNRM-CM5_r1i1p1_SMHI-RCA4_v1
1960-09-01,0.3346118118444909
1960-10-01,0.1989178718661151
1960-11-01,0
1960-12-01,0
1961-01-01,0.36203926550486226
1961-02-01,0.008809005884894623
1961-03-01,0.008347268009439811
1961-04-01,0.007909732849752863
1961-05-01,0.2563298053872034
1961-06-01,0.0071022626811660895
1961-07-01,0.006729986430681685
1961-08-01,0.00637722362441869
1961-09-01,0.006042951434558013
1961-10-01,0.005726200646406758
1961-11-01,0.20762926403731125
1961-12-01,0.005141637768096623
1962-01-01,0.5890316283522663
1962-02-01,0.03652706849269301
1962-03-01,0.03461244484244326
1962-04-01,0.032798179197184495
1962-05-01,0.031079011134501865
1962-06-01,0.029449955965281376
1962-07-01,0.027906290280715947
1962-08-01,0.026443538256887878
1962-09-01,0.02505745867721809
1962-10-01,0.023744032635154115
1962-11-01,0.02249945188144096
1962-12-01,0.021320107782188086
1963-01-01,0.020202580855716648
1963-02-01,0.019143630857849297
1963-03-01,0.018140187386895112
1963-04-01,0.017189340981088982
1963-05-01,0.6201707777036845
1963-06-01,0.0190603151496034
1963-07-01,0.01806123880232017
1963-08-01,0.017114530610540468
1963-09-01,0.01621744561516453
1963-10-01,0.015367382738433966
1963-11-01,0.11793707853738353
1963-12-01,1.5939375513683478
1964-01-01,0.12394095766906288
1964-02-01,0.11744439775938217
1964-03-01,0.11128836523833731
1964-04-01,0.10545501082815308
1964-05-01,0.09992742084897598
1964-06-01,0.09468956817804013
1964-07-01,0.08972626577938532
1964-08-01,0.08502312266938811
1964-09-01,0.0805665021904285
1964-10-01,0.9560644966405184
1964-11-01,0.20000553864475168
1964-12-01,1.0148925781904095
1965-01-01,0.18397839774973657
1965-02-01,0.17433488114677773
1965-03-01,0.7752571026740829
1965-04-01,0.18319164594911794
1965-05-01,0.17358936817715484
1965-06-01,0.16449040887221153
1965-07-01,0.15586838580652293
1965-08-01,0.14769829961821795
1965-09-01,0.1399564613262323
1965-10-01,0.13262042364464083
1965-11-01,0.12566891589725712
1965-12-01,0.11908178234378658
1966-01-01,0.11283992373871085
1966-02-01,0.10692524195345529
1966-03-01,0.10132058750127239
1966-04-01,0.09600970981269079
1966-05-01,0.09097721011735484
1966-06-01,0.9777289554228442
1966-07-01,0.09748767125526332
1966-08-01,0.0923777018902036
1966-09-01,0.08753557959314365
1966-10-01,0.08294726473943786
1966-11-01,0.0785994536134116
1966-12-01,0.0744795398345369
1967-01-01,0.38351973185558547
1967-02-01,0.0815000296446449
1967-03-01,0.07722807761857668
1967-04-01,0.07318004666582094
1967-05-01,0.06934419961171669
1967-06-01,0.06570941450404258
1967-07-01,0.06226515236516684
1967-08-01,0.05900142663451861
1967-09-01,0.055908774212780385
1967-10-01,0.34145167992633535
1967-11-01,0.05020129101497754
1967-12-01,0.047569911519807453
1968-01-01,0.04507645991269776
1968-02-01,0.042713706486819894
1968-03-01,0.2180636556203913
1968-04-01,0.23184916935739838
1968-05-01,0.0420381215465952
1968-06-01,1.0994156029648392
1968-07-01,0.06585177082361666
1968-08-01,0.06240004685472099
1968-09-01,0.05912925041758997
1968-10-01,0.31009490800523476
1968-11-01,0.05309300283375498
1968-12-01,0.23772270536564988
1969-01-01,0.04830106630598877
1969-02-01,0.04576929007269409
1969-03-01,0.3430475984452776
1969-04-01,0.05311374089821215
1969-05-01,0.050329700769251424
1969-06-01,0.04769159047518065
1969-07-01,0.04519176087456343
1969-08-01,0.042822963767722544
1969-09-01,0.04057833088074802
1969-10-01,0.03845135395109155
1969-11-01,0.036435865857005624
1969-12-01,0.03452602273611281
1970-01-01,0.032716287041258306
1970-02-01,0.031001411484516513
1970-03-01,0.029376423822797832
1970-04-01,0.027836612440941655
1970-05-01,0.026377512690494265
1970-06-01,0.4880863462184084
1970-07-01,0.023684747331199147
1970-08-01,0.02244327410978323
1970-09-01,0.021266874656642752
1970-10-01,0.5699068898979258
1970-11-01,0.01909583207018553
1970-12-01,0.018094894047740926
1971-01-01,0.017146421763426657
1971-02-01,0.016247665143196352
1971-03-01,0.21444528872728905
1971-04-01,0.27572467513699095
1971-05-01,0.905240776880734
1971-06-01,0.055909063051758245
1971-07-01,0.05297850172287377
1971-08-01,0.050201550367642456
1971-09-01,0.047570157278095195
1971-10-01,0.04507669278917895
1971-11-01,0.04271392715671467
1971-12-01,0.040475009594916615
1972-01-01,0.03835344841269322
1972-02-01,0.036343092191134796
1972-03-01,0.034438111947612836
1972-04-01,0.03263298423477604
1972-05-01,0.15939188130652418
1972-06-01,0.02930162503692811
1972-07-01,0.027765734350883173
1972-08-01,0.026310349786819755
1972-09-01,0.02493125148994259
1972-10-01,0.02362444079577158
1972-11-01,0.022386128636104084
1972-12-01,0.021212724552696953
1973-01-01,0.02010082628681362
1973-02-01,0.019047209914451465
1973-03-01,1.0893192635643376
1973-04-01,0.07253583907384417
1973-05-01,0.06873375917221522
1973-06-01,0.0651309712586979
1973-07-01,0.06171702913080486
1973-08-01,0.058482034140154855
1973-09-01,0.05541660649156453
1973-10-01,0.05251185804654333
1973-11-01,0.04975936655233591
1973-12-01,0.6236964272429738
1974-01-01,0.25751754322773324
1974-02-01,0.08357492485186928
1974-03-01,0.07919421393549109
1974-04-01,0.07504312486043539
1974-05-01,0.07110962163733452
1974-06-01,0.06738229916210256
1974-07-01,0.06385035014709269
1974-08-01,0.060503533785609805
1974-09-01,0.05733214605892195
1974-10-01,0.054326991599676376
1974-11-01,0.6252510449701731
