Variable,tas
Experiment,rcp85
Zone,Q11b
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,10.272842096325267
1951-02-01,13.111972331290824
1951-03-01,13.383912455320072
1951-04-01,15.410507541795173
1951-05-01,19.57921215020253
1951-06-01,21.992343675887003
1951-07-01,23.699419840769146
1951-08-01,20.69448585886706
1951-09-01,21.454841481962433
1951-10-01,18.624263930448095
1951-11-01,14.97892555923392
1951-12-01,14.18134659345087
1952-01-01,13.747759497010518
1952-02-01,12.377083767467479
1952-03-01,13.74324416726696
1952-04-01,14.470763627391513
1952-05-01,14.82080150833274
1952-06-01,21.60074273677301
1952-07-01,27.646563870967736
1952-08-01,22.487150589564166
1952-09-01,22.66307034082846
1952-10-01,19.73130867977125
1952-11-01,16.11031363256531
1952-12-01,13.500842284482646
1953-01-01,11.423158004244124
1953-02-01,11.022049236247064
1953-03-01,14.353840794909118
1953-04-01,14.287062269129198
1953-05-01,15.385343972661444
1953-06-01,19.506903837141405
1953-07-01,20.9553387787102
1953-08-01,24.38812752057234
1953-09-01,21.163069187332695
1953-10-01,20.692659446901576
1953-11-01,14.669511428166544
1953-12-01,12.620996383589803
1954-01-01,10.349388200910418
1954-02-01,10.461784931287255
1954-03-01,14.476504914417298
1954-04-01,16.397883502544556
1954-05-01,15.65869470967742
1954-06-01,19.786187874378655
1954-07-01,22.584777374993976
1954-08-01,23.46275397435007
1954-09-01,22.704992166237638
1954-10-01,19.5397178693795
1954-11-01,14.171945861706705
1954-12-01,12.828467266466289
1955-01-01,13.972279177468643
1955-02-01,12.828863414175672
1955-03-01,13.887524380523407
1955-04-01,14.384377522497969
1955-05-01,17.919061365360125
1955-06-01,22.585119593372788
1955-07-01,22.03556705700512
1955-08-01,22.812638042512816
1955-09-01,23.696007496433435
1955-10-01,20.25076103898873
1955-11-01,14.832582412566614
1955-12-01,12.65455808483931
1956-01-01,10.992433792430097
1956-02-01,13.7551483800173
1956-03-01,13.768507483487975
1956-04-01,14.811396381175445
1956-05-01,16.98340807224717
1956-06-01,19.902981687129323
1956-07-01,22.398567996884147
1956-08-01,22.78943346715087
1956-09-01,20.33325856967081
1956-10-01,18.154621140573674
1956-11-01,13.905724110291471
1956-12-01,11.385599587478731
1957-01-01,9.366225213423032
1957-02-01,14.209995931322439
1957-03-01,12.996854638142205
1957-04-01,15.947916709677418
1957-05-01,16.00080636121182
1957-06-01,19.522836624574882
1957-07-01,20.99125538729642
1957-08-01,23.36839576777155
1957-09-01,22.643212121424927
1957-10-01,18.81751361699168
1957-11-01,15.58933904814986
1957-12-01,14.131977156373598
1958-01-01,11.208257536578829
1958-02-01,14.50623989208469
1958-03-01,15.539134795051734
1958-04-01,17.145107040760596
1958-05-01,18.417495667607543
1958-06-01,19.72336000843727
1958-07-01,24.11793584960057
1958-08-01,23.958087054949956
1958-09-01,21.409868319749858
1958-10-01,20.305651233255652
1958-11-01,15.279305561678896
1958-12-01,10.14570135496234
1959-01-01,10.049309232442008
1959-02-01,10.022492751638731
1959-03-01,14.1283511630693
1959-04-01,15.549974275287147
1959-05-01,16.555308672491297
1959-06-01,20.323867088239226
1959-07-01,22.072861895367883
1959-08-01,25.250595027980786
1959-09-01,20.973855931302296
1959-10-01,19.947881594068292
1959-11-01,14.77744100058466
1959-12-01,13.162041553053749
1960-01-01,9.53573389022709
1960-02-01,13.457648089361744
1960-03-01,14.453405149401219
1960-04-01,14.760564834204976
1960-05-01,17.663163833569143
1960-06-01,22.842371551237544
1960-07-01,22.73119891301898
1960-08-01,24.525204343621514
1960-09-01,19.913341294408532
1960-10-01,19.498362281861493
1960-11-01,14.396944386418628
1960-12-01,12.215044458619138
1961-01-01,10.872830981199403
1961-02-01,9.646041821207817
1961-03-01,13.510330714688386
1961-04-01,17.665971752870995
1961-05-01,17.056584741636218
1961-06-01,17.024160810943993
1961-07-01,19.666127241397696
1961-08-01,20.789970815604917
1961-09-01,23.512181325019352
1961-10-01,21.175210608918764
1961-11-01,15.496735126963145
1961-12-01,12.560588464721016
1962-01-01,11.021230153834496
1962-02-01,13.568332597715168
1962-03-01,14.60477884280796
1962-04-01,15.468957813481051
1962-05-01,15.187762632736908
1962-06-01,18.384785330884522
1962-07-01,23.508192832879857
1962-08-01,22.773000067821034
1962-09-01,20.742483386432426
1962-10-01,18.38858972464788
1962-11-01,15.385989159947293
1962-12-01,12.379547912181343
1963-01-01,9.899741113041152
1963-02-01,11.473134943955579
1963-03-01,13.504756824851807
1963-04-01,14.939905256984362
1963-05-01,18.886219951080065
1963-06-01,20.57298349105934
1963-07-01,22.388547323389435
1963-08-01,22.656262199363063
1963-09-01,20.5748567669043
1963-10-01,18.725378930345524
1963-11-01,15.291038723117275
1963-12-01,10.961824611118308
1964-01-01,9.290159152959191
1964-02-01,12.314484737356509
1964-03-01,13.563793480869668
1964-04-01,14.766444845049982
1964-05-01,16.174493821308165
