Zone,Q11B,Q11B,Q11B,Q11B,Q12,Q12,Q12,Q12,Q14A,Q14A,Q14A,Q14A,Q15A,Q15A,Q15A,Q15A,Q15B,Q15B,Q15B,Q15B,Q18,Q18,Q18,Q18,Q2,Q2,Q2,Q2,Q20,Q20,Q20,Q20,Q23,Q23,Q23,Q23,Q4A,Q4A,Q4A,Q4A,Q4B,Q4B,Q4B,Q4B,Q7,Q7,Q7,Q7,Q8,Q8,Q8,Q8
Variables,P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C],P [mm],Hsim [mm],Hobs [mm],T [C]
1990-09-01,10.49285714,0.0,0.04179336528092563,23.413879900000005,8.340540541,0.0,0.02288230910575289,23.413879900000005,9.329166667,0.0,0.00796584411133723,23.38233643,21.61604938,0.0,0.009241034955367806,23.37916806666667,15.69635036,0.0,0.008726042830266584,23.33160116666667,5.43125,0.0,0.007338175941686364,23.43219303333333,9.59047619,0.0,0.05230661132404608,23.53861693333333,11.65333333,0.0,0.0,23.355488033333327,12.58,0.0,0.0,23.323603266666666,39.38709677,0.0,1.4820804627214366,23.382336433333332,21.869354838709626,0.0,1.1071715401671758,23.509356133333334,28.71654135338339,0.0,0.08677100441903404,22.59804993333334,26.65714285714281,0.0,0.0852967962705819,22.443770266666668
1990-10-01,27.05,0.0,0.13285533190928386,18.827589467741937,26.36216216,0.0,0.028479420685577343,18.827589467741937,26.42083333,0.0,0.28284691255031746,17.97459865,39.68641975,0.1986209338685781,0.32812570386298506,17.200539838709677,33.2270073,0.0,0.3098396401970776,17.939008451612903,23.91875,0.0,0.2605600084368933,19.867806645161288,22.17619048,0.46019335106631626,0.038715129641419925,17.989089516129027,22.48666667,0.0,0.0,17.744387580645153,26.21,0.0,0.0,18.20024548387096,27.76451613,0.0,0.3547242293502775,17.974598645161294,26.638709677419314,0.0,0.26499274582110094,17.065508822580647,39.49624060150371,0.0,0.11881856490928938,16.201201322580644,47.06071428571416,0.0,0.11679988023749774,16.08863779032258
1990-11-01,41.85714286,1.6250039029836258,0.637773549856076,15.145339416666669,42.22162162,1.1601683422109441,0.3243032297721811,15.145339416666669,33.16666667,0.3429533193210774,0.46558575432830723,14.27395323,28.59876543,0.0,0.5401178042570196,13.649662766666667,28.93576642,0.0,0.5100176675122975,14.308032316666665,25.475,0.0,0.4288999550394595,16.510891683333334,35.35,1.4910801379829832,0.03995071888529502,13.957926466666667,20.36,0.0,0.0,14.258592766666668,20.06,0.0,0.0,14.714828466666665,53.80322581,2.3683899311030205,0.1101886049876979,14.273953233333334,37.597580645161166,1.6354538607830114,0.08231515802393521,12.983124140000001,49.43308270676684,1.0021303334538008,0.257325312398648,12.148504623333336,51.6642857142856,0.5194004975367384,0.2529534479160251,12.258946736666665
1990-12-01,78.0,21.96810746015999,2.7386546680021167,12.706329806451615,79.55675676,6.549536365846446,1.7296720990945718,12.706329806451615,71.85,4.230383158192123,4.434359519709623,11.68362424,76.41481481,4.071608705235975,5.14422210045303,10.659962267741939,74.63065693,3.921944692102246,4.857540588663474,11.622197919354837,55.0125,2.5568342322045092,4.084954449210093,13.997380435483873,81.38333333,5.093314936928794,5.131813992894597,11.381446080645159,73.06,0.3274606736650854,0.0,11.432702806451614,60.26,0.580778518601799,0.0,11.983789241935483,121.383871,18.62547447168923,10.889359737484646,11.683624241935485,94.48145161290311,12.71970501790796,8.134773715218566,9.451887419354835,112.99398496240576,13.1919936922053,7.146044199421938,9.057655554838709,106.57142857142841,9.784010000692746,7.0246354793256165,9.357753680645159
1991-01-01,18.29285714,6.194847688656014,0.39584772806730345,10.445206032258065,13.73783784,0.0,0.061238985520432214,10.445206032258065,7.616666667,0.0,0.2872459607909066,9.784603977,5.414814815,0.0,0.3332289619726658,9.165971832258064,6.62189781,0.0,0.3146584996705083,9.745770499999999,6.48125,0.0,0.264612433956929,11.844025564516128,6.428571429,0.0,0.8393769596724866,9.19149676451613,3.786666667,0.008422490483563992,0.0,9.743690774193544,4.69,0.0,0.0,10.12833922580645,7.974193548,1.8796072280356393,0.3259381850578564,9.784603977419353,4.546774193548372,0.8815533158380695,0.24348845519976872,7.998258929032258,8.097744360902245,1.4650351850631127,0.7525941854731527,7.3470461645161285,9.785714285714267,0.0,0.7398078810142996,7.589205767741934
1991-02-01,117.4571429,50.116997441125804,9.50119493225921,10.670793242857142,113.4540541,27.894540424064076,8.836175337297956,10.670793242857142,98.92083333,6.950830342833614,5.20336070944289,9.608043057,97.14074074,9.809536895241317,6.036326788383159,8.763749839285714,101.259854,10.155000451500234,5.699929320397265,9.612093757142855,113.01875,12.084380367557863,4.793362240117962,12.061320767857142,84.12142857,5.307578411738427,4.3484504122777805,9.503659892857144,90.99333333,0.7309618482774517,0.0,9.429455425,99.26,2.246529216706951,0.0,10.009979239285716,118.0032258,19.616192665094616,12.608797532510925,9.60804305714286,97.88225806451597,15.408195195187117,9.419260380838095,7.805839739285716,112.2338345864659,19.162477170793828,12.797318677045002,7.413295810714287,108.0857142857141,16.452657845428902,12.579896836669253,7.693057539285715
1991-03-01,157.8071429,87.68561691050932,35.04866364819085,13.430810193548389,150.1351351,67.42371402619422,22.548128620251603,13.430810193548389,130.6833333,24.806070826425803,7.53675856808624,12.42904468,137.762963,26.520519485141236,8.743260400831645,11.541523096774196,137.5627737,25.900148541338815,8.256008672439235,12.407220967741933,104.74375,15.5659830517931,6.942900165961792,14.364157467741936,150.6904762,42.93423232898935,32.46977516440631,12.429792870967741,132.4866667,1.726429165264383,0.0,12.174755483870964,128.35,4.703543351545021,0.0,12.687324774193545,178.0451613,48.00756177388303,50.411651162179275,12.429044677419359,149.66854838709637,40.47597698304375,37.65945700216074,10.917217041935483,174.01879699248084,67.36430300584843,53.41549488629988,10.564836319354841,160.721428571428,70.85231005166614,52.5079848448728,10.792829916129032
1991-04-01,39.27142857,29.112803357215675,5.847333521296331,14.82921548333333,34.17837838,19.260722080191385,10.346919239020757,14.82921548333333,33.95833333,6.507556439286376,5.375636950000023,14.02175498,48.43333333,10.654742920916174,6.236181410029849,13.489749666666665,41.63357664,9.605149173925811,5.8886462765324366,14.05697593333333,17.23125,4.4228109603046954,4.952063985483688,15.653114816666669,38.32380952,14.042417264521253,14.115371522029184,14.082849116666667,29.62666667,0.27735599629656155,0.0,13.888340299999998,38.12,2.0022412741553977,0.0,14.2731934,60.09354839,13.052623577822667,10.207021173662014,14.021754983333336,36.88709677419351,9.723804190668812,7.625040365629871,13.212908833333334,60.150375939849575,23.84268399357255,13.213298565798992,12.586758900000001,66.76071428571422,25.31426042683611,12.988809376765712,12.614061516666663
1991-05-01,7.278571429,10.555218034307185,0.5567351952259885,17.77670483870968,5.664864865,7.319074390472726,0.6077804691974076,17.77670483870968,4.7375,2.3123173424128454,0.32873968608727516,17.32983097,7.724691358,3.6228307255974546,0.38136509927749207,17.090057290322576,6.415328467,3.511516929531273,0.3601120660550312,17.362673612903226,2.9625,1.680668164915784,0.3028366638621311,18.371197096774193,4.092857143,4.681078777464428,0.6183437727126073,17.365118177419355,3.54,0.2628179462432372,0.0,17.396563080645162,4.35,0.9744921083629215,0.0,17.696987951612904,12.13548387,3.659948377854433,0.37068408681873377,17.329830967741934,9.797580645161275,3.115170850364099,0.27691537783647246,16.763067225806452,11.327819548872156,8.14538906085488,0.9200075771656734,15.7777380483871,13.796428571428546,8.454089724835374,0.9043769794103955,15.677917483870967
