Variable,hsim
Experiment,rcp45
Zone,Q12
Code,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2
1960-09-01,0
1960-10-01,0
1960-11-01,0
1960-12-01,70.4837920884153
1961-01-01,27.02324083939421
1961-02-01,10.022293667789048
1961-03-01,14.54971510558611
1961-04-01,3.4933413564151046
1961-05-01,1.32746971543774
1961-06-01,0.5044384918663412
1961-07-01,0.19168662690920965
1961-08-01,0.07284091822549968
1961-09-01,0.02767954892568988
1961-10-01,0.010518228591762154
1961-11-01,0.003996926864869619
1961-12-01,6.616902028501304
1962-01-01,0.3175545571627264
1962-02-01,1.2884928864986598
1962-03-01,58.46857619170636
1962-04-01,30.147012289296114
1962-05-01,9.223157895729678
1962-06-01,3.5048000003772772
1962-07-01,1.3318240001433654
1962-08-01,0.5060931200544789
1962-09-01,0.19231538562070194
1962-10-01,0.07307984653586674
1962-11-01,6.680037737845901
1962-12-01,29.360546082409435
1963-01-01,7.376678740581574
1963-02-01,2.803137921420998
1963-03-01,1.0651924101399795
1963-04-01,0.40477311585319214
1963-05-01,0.15381378402421303
1963-06-01,0.05844923792920094
1963-07-01,0.022210710413096357
1963-08-01,0.008440069956976616
1963-09-01,0.003207226583651113
1963-10-01,0.001218746101787423
1963-11-01,0.00046312351867922074
1963-12-01,2.185497680248445
1964-01-01,6.154610644094187
1964-02-01,13.824163459543197
1964-03-01,24.145443174076473
1964-04-01,6.201759766359212
1964-05-01,2.620532874279674
1964-06-01,5.025718816054508
1964-07-01,0.34030296189966264
1964-08-01,0.12931512552187183
1964-09-01,0.049139747698311295
1964-10-01,0.018673104125358293
1964-11-01,6.668651280650379
1964-12-01,0.0026963962357017365
1965-01-01,27.009662221522422
1965-02-01,14.359383553174352
1965-03-01,41.63053086965987
1965-04-01,16.106263447345942
1965-05-01,4.437138188155104
1965-06-01,1.68611251149894
1965-07-01,0.6407227543695971
1965-08-01,0.2434746466604469
1965-09-01,0.09252036573096983
1965-10-01,0.03515773897776854
1965-11-01,0.013359940811552045
1965-12-01,6.239695023955775
1966-01-01,0.0019291754531881155
1966-02-01,0.3175846977481609
1966-03-01,0.0002785729354403639
1966-04-01,0.00010585771546733827
1966-05-01,4.022593187758854e-05
1966-06-01,1.5285854113483644e-05
1966-07-01,5.808624563123786e-06
1966-08-01,2.207277333987039e-06
1966-09-01,8.387653869150747e-07
1966-10-01,3.187308470277284e-07
1966-11-01,1.211177218705368e-07
1966-12-01,2.7859804461319277
1967-01-01,1.7489399038105518e-08
1967-02-01,6.645971634480096e-09
1967-03-01,8.136449594809044
1967-04-01,9.596783040189259e-10
1967-05-01,3.6467775552719183e-10
1967-06-01,1.3857754710033289e-10
1967-07-01,5.265946789812648e-11
1967-08-01,2.0010597801288066e-11
1967-09-01,7.604027164489466e-12
1967-10-01,2.8895303225059974e-12
1967-11-01,4.981828532115139
1967-12-01,4.17248178569866e-13
1968-01-01,1.5855430785654904e-13
1968-02-01,37.577011410502244
1968-03-01,8.396595088750026
1968-04-01,10.180275839615991
1968-05-01,1.2124683308155038
1968-06-01,0.46073796570989145
1968-07-01,0.17508042696975878
1968-08-01,4.705351718199187
1968-09-01,0.025281613654433165
1968-10-01,7.009790093875859
1968-11-01,0.0036506650117001486
1968-12-01,71.73355262385536
1969-01-01,18.396834317722746
1969-02-01,6.990797040734644
1969-03-01,12.916237023026142
1969-04-01,1.6268127125330236
1969-05-01,0.618188830762549
1969-06-01,0.2349117556897686
1969-07-01,0.08926646716211208
1969-08-01,5.653698147585694
1969-09-01,2.8545674391337297
1969-10-01,0.34996037392155077
1969-11-01,6.318524986305054
1969-12-01,12.155948301409452
1970-01-01,2.2414284626425047
1970-02-01,53.4811117610474
1970-03-01,32.60387838101081
1970-04-01,66.38870102645713
1970-05-01,19.187946280004788
1970-06-01,7.291419586401819
1970-07-01,2.7707394428326917
1970-08-01,1.218013226757865
1970-09-01,0.4000947755450405
1970-10-01,0.15203601470711542
1970-11-01,67.60686338700177
1970-12-01,28.94079714278378
1971-01-01,9.411320368620641
1971-02-01,22.55374014083546
1971-03-01,7.609566748634077
1971-04-01,2.014036950258305
1971-05-01,0.7653340410981557
1971-06-01,0.29082693561729916
1971-07-01,0.11051423553457368
1971-08-01,0.041995409503137994
1971-09-01,0.015958255611192438
1971-10-01,2.412612513802827
1971-11-01,0.0023043721102561886
1971-12-01,0.49733380590463205
1972-01-01,0.00033275133272099355
1972-02-01,2.253182718557219
1972-03-01,4.8049292444911475e-05
1972-04-01,18.182282041917148
1972-05-01,2.5537100615097827
1972-06-01,0.9704098233737176
1972-07-01,0.36875573288201274
1972-08-01,0.14012717849516484
1972-09-01,0.05324832782816265
1972-10-01,0.020234364574701805
1972-11-01,12.473775984293635
1972-12-01,57.61055476290518
1973-01-01,44.72265293773502
1973-02-01,14.51236226605813
1973-03-01,12.050106415765251
1973-04-01,5.586544853543284
1973-05-01,0.9303542669899534
1973-06-01,0.3535346214561823
1973-07-01,0.13434315615334927
1973-08-01,0.05105039933827273
1973-09-01,4.7695966251158834
1973-10-01,0.007371677664446583
1973-11-01,0.002801237512489702
1973-12-01,6.3184015905968485
1974-01-01,61.03000109959238
1974-02-01,16.811177461978566
1974-03-01,8.295466166674968
1974-04-01,2.4275340255097055
1974-05-01,0.9224629296936881
1974-06-01,0.35053591328360145
1974-07-01,0.13320364704776855
1974-08-01,0.05061738587815205
1974-09-01,0.01923460663369778
1974-10-01,0.007309150520805157
1974-11-01,0.0027774771979059594
1974-12-01,6.300147783734914
1975-01-01,2.741299449668342
1975-02-01,2.1811653589934195
1975-03-01,39.53204342841165
1975-04-01,36.11076330103339
1975-05-01,10.342297919876449
1975-06-01,3.9300732095530515
1975-07-01,1.4934278196301596
1975-08-01,0.5675025714594607
1975-09-01,0.21565097715459505
1975-10-01,0.08194737131874613
1975-11-01,0.031140001101123534
1975-12-01,6.63072072538958
1976-01-01,0.004496616159002238
1976-02-01,2.166464210613103
1976-03-01,49.186136233770505
1976-04-01,14.648446202492757
1976-05-01,4.705323725591884
1976-06-01,1.7880230157249157
1976-07-01,0.6794487459754679
1976-08-01,0.25819052347067784
1976-09-01,0.09811239891885756
1976-10-01,0.03728271158916587
1976-11-01,65.9975138838899
1976-12-01,31.642496092429994
1977-01-01,10.309970726591175
1977-02-01,35.74846738648592
1977-03-01,9.700888923424882
1977-04-01,4.711930641363238
1977-05-01,1.3781201363129914
1977-06-01,0.5236856517989368
1977-07-01,0.19900054768359599
1977-08-01,0.07562020811976648
1977-09-01,0.02873567908551127
1977-10-01,2.2756763034906435
1977-11-01,0.34557765731289286
1977-12-01,0.1319984037704223
1978-01-01,0.0005991779894564663
1978-02-01,0.00022768763599345716
1978-03-01,38.840213176746126
1978-04-01,8.314188462718977
1978-05-01,3.1593916158332123
1978-06-01,1.2005688140166204
1978-07-01,0.4562161493263158
1978-08-01,0.17336213674400003
1978-09-01,0.06587761196272
1978-10-01,0.025033492545833598
1978-11-01,30.423337592334068
1978-12-01,6.144856848717805
1979-01-01,2.335045602512766
1979-02-01,0.8873173289548512
1979-03-01,0.6940443364919717
1979-04-01,2.3358593509996552
1979-05-01,0.0486888764744106
1979-06-01,0.01850177306027603
1979-07-01,3.7876227273574745
1979-08-01,0.0026716560299038586
1979-09-01,0.0010152292913634662
1979-10-01,0.0003857871307181171
1979-11-01,0.00014659910967288449
1979-12-01,5.57076616756961e-05
1980-01-01,26.595014137771823
1980-02-01,17.936239084110035
1980-03-01,6.638302065521341
1980-04-01,1.7487418157752537
1980-05-01,0.6645218899945965
1980-06-01,0.2525183181979466
1980-07-01,0.09595696091521973
1980-08-01,2.3459321805340627
1980-09-01,0.013856185156157727
1980-10-01,2.2078021897623463
1980-11-01,0.0020008331365491757
1980-12-01,4.989670019953238
1981-01-01,30.84685113273724
1981-02-01,7.346016989509895
1981-03-01,9.007552377476111
1981-04-01,1.0607648532852287
1981-05-01,0.40309064424838703
1981-06-01,0.15317444481438705
1981-07-01,0.058206289029467076
1981-08-01,0.02211838983119749
1981-09-01,0.3009897484928155
1981-10-01,0.0031938954916249174
1981-11-01,0.0012136802868174688
1981-12-01,0.31753596718306076
1982-01-01,5.9810004300909485
1982-02-01,6.659706469824814e-05
1982-03-01,0.8914694900660071
1982-04-01,9.616616142427029e-06
1982-05-01,3.6543141341222715e-06
1982-06-01,1.3886393709664633e-06
1982-07-01,5.27682960967256e-07
1982-08-01,2.0051952516755733e-07
1982-09-01,7.619741956367179e-08
1982-10-01,2.895501943419528e-08
1982-11-01,1.1002907384994207e-08
1982-12-01,4.181104806297798e-09
1983-01-01,1.5888198263931637e-09
1983-02-01,6.037515340294022e-10
1983-03-01,20.33707489144442
1983-04-01,4.099931839907139
1983-05-01,1.1187254956133053
1983-06-01,0.42511568833305596
1983-07-01,0.16154396156656128
1983-08-01,0.06138670539529328
1983-09-01,0.023326948050211446
1983-10-01,0.008864240259080348
1983-11-01,0.0033684112984505325
1983-12-01,2.2652489461033563
1984-01-01,3.763759228902647
1984-02-01,18.66265683442998
1984-03-01,5.519699379711613
1984-04-01,1.6230631751967535
1984-05-01,0.6167640065747664
1984-06-01,0.23437032249841117
1984-07-01,0.08906072254939625
1984-08-01,0.03384307456877058
1984-09-01,0.01286036833613282
1984-10-01,2.8129669689490653
1984-11-01,0.0018570371877375794
1984-12-01,19.68649926953033
1985-01-01,25.67691886807939
1985-02-01,7.12563782753527
1985-03-01,8.562825819293147
1985-04-01,1.028942102296093
1985-05-01,0.3909979988725153
1985-06-01,0.14857923957155583
1985-07-01,0.0564601110371912
1985-08-01,0.02145484219413266
1985-09-01,0.008152840033770412
1985-10-01,0.003098079212832756
1985-11-01,2.994723332207337
1985-12-01,6.0197835492631295
1986-01-01,2.145401321078694
1986-02-01,13.23641376039129
1986-03-01,17.209227570637104
1986-04-01,4.30799491247484
1986-05-01,1.6370380667404392
1986-06-01,0.6220744653613668
1986-07-01,0.23638829683731938
1986-08-01,0.08982755279818136
1986-09-01,0.03413447006330892
1986-10-01,0.012971098624057388
1986-11-01,0.32164175567820097
1986-12-01,0.0018730266413138866
1987-01-01,0.000711750123699277
1987-02-01,53.81715440440979
1987-03-01,22.229072552541567
1987-04-01,6.937648944226679
1987-05-01,2.6363065988061383
1987-06-01,1.0017965075463324
1987-07-01,0.38068267286760643
1987-08-01,0.14465941568969043
1987-09-01,8.036367905236302
1987-10-01,2.2791765352670534
1987-11-01,1.159166412141774
1987-12-01,3.036434745159982
1988-01-01,0.0011462113104954456
1988-02-01,7.734490001273834
1988-03-01,0.00016551291323554232
1988-04-01,6.289490702950608e-05
1988-05-01,0.04703217844635345
1988-06-01,9.082024575060681e-06
1988-07-01,3.451169338523058e-06
1988-08-01,1.3114443486387621e-06
1988-09-01,4.983488524827296e-07
1988-10-01,1.8937256394343727e-07
1988-11-01,4.430361444288188
1988-12-01,2.7345398233432346e-08
1989-01-01,12.76282495794204
1989-02-01,1.5666506366770034
1989-03-01,0.5953272419372613
1989-04-01,2.335439255489663
