Variable,tas
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,11.824811895216934
1951-02-01,13.930660692775525
1951-03-01,14.444195279943633
1951-04-01,17.26515029889243
1951-05-01,19.63334641377689
1951-06-01,21.656270100997105
1951-07-01,23.329871207642345
1951-08-01,20.992054863898677
1951-09-01,21.59685033567038
1951-10-01,19.63542642211563
1951-11-01,16.589387711473382
1951-12-01,15.543363974316764
1952-01-01,14.417821798803502
1952-02-01,12.944010522823957
1952-03-01,15.060265366593297
1952-04-01,16.00181289143861
1952-05-01,16.314463388779213
1952-06-01,21.59641136814276
1952-07-01,24.32336316129032
1952-08-01,22.925297881191717
1952-09-01,22.88205617957149
1952-10-01,20.88870313775871
1952-11-01,17.329801704769867
1952-12-01,14.11474381354733
1953-01-01,11.819063256175925
1953-02-01,12.018753491637527
1953-03-01,15.112028414137715
1953-04-01,15.669958253561035
1953-05-01,16.771189184897374
1953-06-01,19.551734991026667
1953-07-01,21.323466449447952
1953-08-01,23.825659417605923
1953-09-01,21.400824228127977
1953-10-01,21.104327777012784
1953-11-01,16.134489398406973
1953-12-01,13.423355147236109
1954-01-01,11.98313444895918
1954-02-01,11.6961917336502
1954-03-01,15.312613265051391
1954-04-01,17.87363336317288
1954-05-01,17.307858928661222
1954-06-01,20.400404414992856
1954-07-01,22.858049682184824
1954-08-01,23.323091460398356
1954-09-01,22.358069344875286
1954-10-01,20.752349493468643
1954-11-01,15.857499795075352
1954-12-01,13.239141170657962
1955-01-01,15.182451651145133
1955-02-01,14.274604051380306
1955-03-01,15.08603423698328
1955-04-01,15.670074760623399
1955-05-01,18.108504741012574
1955-06-01,21.585894900551466
1955-07-01,21.88277575822741
1955-08-01,22.592294286962368
1955-09-01,23.72564868918477
1955-10-01,20.921632255802212
1955-11-01,16.284494552205647
1955-12-01,13.494763908890835
1956-01-01,11.969780194151367
1956-02-01,15.006460766805056
1956-03-01,15.06051718697873
1956-04-01,15.882374979154054
1956-05-01,17.773927414939504
1956-06-01,20.74729017211469
1956-07-01,22.89307080136827
1956-08-01,22.289326480720252
1956-09-01,20.994233920414125
1956-10-01,19.142799250377365
1956-11-01,15.111977311863088
1956-12-01,11.991702722303879
1957-01-01,10.963973506451609
1957-02-01,14.786082562078944
1957-03-01,13.284479226191474
1957-04-01,17.26713538595292
1957-05-01,17.29642932736411
1957-06-01,19.505479513187655
1957-07-01,21.39400689799639
1957-08-01,23.139788754401774
1957-09-01,22.479098530834015
1957-10-01,19.501446768397386
1957-11-01,17.270924768902628
1957-12-01,15.682523594679466
1958-01-01,12.049879649059198
1958-02-01,15.103760741328143
1958-03-01,16.59004609831729
1958-04-01,17.877335707656883
1958-05-01,18.316498459215918
1958-06-01,20.533756618753173
1958-07-01,23.833816204574987
1958-08-01,23.33845194056044
1958-09-01,21.930306832639666
1958-10-01,20.920787697581478
1958-11-01,16.545560161467826
1958-12-01,11.799322387349108
1959-01-01,10.963973506451609
1959-02-01,11.997880675139694
1959-03-01,15.060556074097727
1959-04-01,16.57288793559321
1959-05-01,17.30097748159941
1959-06-01,20.389998079044776
1959-07-01,21.685595902781294
1959-08-01,24.30525535758095
1959-09-01,21.557222776373894
1959-10-01,20.400419773776623
1959-11-01,16.114556931253084
1959-12-01,13.701508848918927
1960-01-01,11.583390829608723
1960-02-01,13.288606596478212
1960-03-01,15.109473453866595
1960-04-01,16.085168534663513
1960-05-01,18.24918355964042
1960-06-01,21.74205577160491
1960-07-01,22.489738865940968
1960-08-01,23.733075059270348
1960-09-01,20.945796349079863
1960-10-01,20.937489754046094
1960-11-01,15.699918788617182
1960-12-01,13.075705762464116
1961-01-01,11.707435776297647
1961-02-01,11.361501991610004
1961-03-01,15.016632726228204
1961-04-01,18.00412013778281
1961-05-01,17.511389403754677
1961-06-01,17.55621830927153
1961-07-01,20.396801318183794
1961-08-01,21.364577111101855
1961-09-01,23.34076226891055
1961-10-01,21.809698219152953
1961-11-01,16.56216324837436
1961-12-01,13.194022233820291
1962-01-01,11.985054181989774
1962-02-01,13.659093333399014
1962-03-01,15.531482788533156
1962-04-01,16.561681990985917
1962-05-01,16.197995023623516
1962-06-01,18.734236120893534
1962-07-01,22.931079610949876
1962-08-01,22.854915950722766
1962-09-01,20.95348116258074
1962-10-01,19.238989569552004
1962-11-01,16.648687322682285
1962-12-01,13.180150672772829
1963-01-01,10.963973506451609
1963-02-01,12.096243714121501
1963-03-01,14.026643568471545
1963-04-01,16.07669168111985
1963-05-01,18.82644745733545
1963-06-01,21.102396697053475
1963-07-01,21.93509745970599
1963-08-01,22.304552105050682
1963-09-01,21.09855724730755
1963-10-01,19.452812636421314
1963-11-01,17.277984828496127
1963-12-01,11.834522264867644
1964-01-01,10.963973506451609
1964-02-01,12.077211791476055
1964-03-01,14.517102955812415
1964-04-01,15.862399412590271
1964-05-01,17.297189710146288
1964-06-01,20.39427764680397
1964-07-01,21.81132232930808
1964-08-01,22.879417923843672
1964-09-01,23.302859547535736
1964-10-01,20.745598031603464
1964-11-01,17.286944962941025
1964-12-01,15.133669655546367
1965-01-01,13.138987220484157
1965-02-01,15.107684720794328
1965-03-01,14.68283421098214
1965-04-01,15.06019623851344
1965-05-01,16.80965190403827
1965-06-01,19.518024678630788
1965-07-01,22.296967984579315
1965-08-01,21.76556296583132
1965-09-01,24.32336316129032
1965-10-01,20.902345009476832
1965-11-01,17.297349539979212
1965-12-01,13.181168412435586
1966-01-01,13.260724421853412
1966-02-01,15.080614633587588
