Variable,pr
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,53.36936229762132
1951-02-01,42.81212393115814
1951-03-01,15.619056004497123
1951-04-01,51.27185152962182
1951-05-01,9.594566757882099
1951-06-01,3.8624571506811067
1951-07-01,0.18273060616791414
1951-08-01,5.3625
1951-09-01,4.976581343189582
1951-10-01,48.06650846130912
1951-11-01,25.158660473492652
1951-12-01,62.58390235535412
1952-01-01,1.6908161695770292
1952-02-01,49.74298990289888
1952-03-01,89.3956841983862
1952-04-01,66.38696090490465
1952-05-01,15.637902448595197
1952-06-01,0.3760185047784993
1952-07-01,0.19545352047348116
1952-08-01,0.7175437765797108
1952-09-01,1.38125
1952-10-01,48.51682749607728
1952-11-01,33.88932843136297
1952-12-01,86.27940433073567
1953-01-01,4.918868801050994
1953-02-01,9.00496675082517
1953-03-01,61.48518703672494
1953-04-01,66.54200052853375
1953-05-01,17.261566388994776
1953-06-01,0.708993846177052
1953-07-01,0.00625
1953-08-01,0.6346684741714325
1953-09-01,5.450409983725866
1953-10-01,33.35573073695857
1953-11-01,76.83203620536518
1953-12-01,94.80311277589145
1954-01-01,35.90468384124976
1954-02-01,46.924465127056166
1954-03-01,19.7924968232142
1954-04-01,51.85950496050974
1954-05-01,21.164172136336457
1954-06-01,0.39115371620024075
1954-07-01,0.00625
1954-08-01,0.5323310841609897
1954-09-01,3.6518376033324498
1954-10-01,58.657142851342385
1954-11-01,77.51627636418597
1954-12-01,99.37336463334287
1955-01-01,41.10167416403388
1955-02-01,4.3214234115476495
1955-03-01,15.783941329132011
1955-04-01,66.4922542398677
1955-05-01,11.425435142667709
1955-06-01,2.232519739137199
1955-07-01,0.3752050571880994
1955-08-01,0.8019859462682966
1955-09-01,7.802610059400776
1955-10-01,5.60625
1955-11-01,75.69937857353696
1955-12-01,214.1875
1956-01-01,247.60625
1956-02-01,48.05222815779274
1956-03-01,104.74375
1956-04-01,51.59082318302523
1956-05-01,5.755921157329212
1956-06-01,5.360205107879858
1956-07-01,0.18512565499471428
1956-08-01,0.6375
1956-09-01,4.389272593010418
1956-10-01,59.81978491310507
1956-11-01,24.66015988822206
1956-12-01,70.88711357238492
1957-01-01,36.19638178978583
1957-02-01,13.251433847509295
1957-03-01,104.74375
1957-04-01,66.34497380730926
1957-05-01,9.836945910979017
1957-06-01,0.6483405284161147
1957-07-01,0.18274408958965507
1957-08-01,1.3901205712180655
1957-09-01,9.599398920825728
1957-10-01,11.500887616966336
1957-11-01,7.180346015719338
1957-12-01,59.22038645215034
1958-01-01,36.00512445549861
1958-02-01,11.374301483508834
1958-03-01,36.807992700415575
1958-04-01,51.76645087927972
1958-05-01,7.006573625494466
1958-06-01,2.089058349654271
1958-07-01,0.23204940348557518
1958-08-01,0.0021182604164477494
1958-09-01,5.433155548498097
1958-10-01,5.60625
1958-11-01,83.89375
1958-12-01,167.8069444114508
1959-01-01,1.3989598519414146
1959-02-01,0.4925534775422078
1959-03-01,26.824098392389146
1959-04-01,5.4059794056283605
1959-05-01,8.837288290617344
1959-06-01,2.1331803934803952
1959-07-01,2.2368928142875717
1959-08-01,0.021182604164477495
1959-09-01,1.38125
1959-10-01,18.325739680805277
1959-11-01,41.569506349327796
1959-12-01,94.03628164874549
1960-01-01,6.303816046138357
1960-02-01,7.624651202186062
1960-03-01,26.423419758281195
1960-04-01,58.484592988846195
1960-05-01,12.827787971433033
1960-06-01,16.325
1960-07-01,0.14650776752996647
1960-08-01,0.044913909865441304
1960-09-01,18.121731111693578
1960-10-01,61.401160861667606
1960-11-01,21.472451394754668
1960-12-01,37.249686632407084
1961-01-01,1.36875
1961-02-01,40.825142825204715
1961-03-01,26.378123929196175
1961-04-01,52.944048993923175
1961-05-01,4.040795097740443
1961-06-01,0.37652406284353696
1961-07-01,0.11074213496356383
1961-08-01,0.5412222033674952
1961-09-01,4.19542920095785
1961-10-01,24.612362602487348
1961-11-01,25.467207306417222
1961-12-01,39.2527244649823
1962-01-01,43.878474453087655
1962-02-01,47.90516840202139
1962-03-01,33.57968239322922
1962-04-01,17.16401929569298
1962-05-01,16.28672834495594
1962-06-01,2.7981917640848666
1962-07-01,0.11807853457253932
1962-08-01,1.0380317907436527
1962-09-01,4.254528016875468
1962-10-01,5.60625
1962-11-01,44.03616926254368
1962-12-01,214.1875
1963-01-01,15.41513228812811
1963-02-01,35.11037892686956
1963-03-01,62.126418406204536
1963-04-01,15.96364230649888
1963-05-01,6.359428749311848
1963-06-01,16.325
1963-07-01,0.021513082131429197
1963-08-01,0.8476160098392853
1963-09-01,4.623456050619226
1963-10-01,6.009517752428291
1963-11-01,25.281763831848554
1963-12-01,89.82957327253686
1964-01-01,49.27599903593427
1964-02-01,4.970803498008764
1964-03-01,28.28241261319538
1964-04-01,18.168685388624862
1964-05-01,10.14778183992998
1964-06-01,0.37804073985337316
1964-07-01,0.25421905752793134
1964-08-01,0.023300863873313767
1964-09-01,8.500129295580914
1964-10-01,29.91480167960904
1964-11-01,25.20188202381731
1964-12-01,36.68694323503952
1965-01-01,14.106914244046294
1965-02-01,41.65972953129812
1965-03-01,104.74375
1965-04-01,56.617035209685625
1965-05-01,16.205274435500144
1965-06-01,0.3829962908703439
1965-07-01,3.8375
1965-08-01,1.2040560775393492
1965-09-01,9.55724410974578
1965-10-01,33.79164473396632
1965-11-01,83.53468391355244
1965-12-01,40.0057344148423
1966-01-01,55.18131480837041
1966-02-01,1.1658871705969396
1966-03-01,35.54495142877827
1966-04-01,17.617031920229973
