Variable,pr
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,87.15377455184979
1951-02-01,66.66075957473637
1951-03-01,15.408688520130568
1951-04-01,27.78100773269111
1951-05-01,15.58798702198146
1951-06-01,8.694403815750011
1951-07-01,1.3727388543808943
1951-08-01,21.99408619897182
1951-09-01,0.631897945203371
1951-10-01,18.097409120250045
1951-11-01,27.527515594565585
1951-12-01,42.2609857697488
1952-01-01,19.81900308522111
1952-02-01,87.1497224909572
1952-03-01,65.15890974102192
1952-04-01,55.25621313016852
1952-05-01,25.388857904545556
1952-06-01,0.31770834783213864
1952-07-01,1.9687499880844572
1952-08-01,2.025048341963794
1952-09-01,0.00625
1952-10-01,18.170147271436957
1952-11-01,33.46252147255595
1952-12-01,51.38567984485087
1953-01-01,26.658268437859334
1953-02-01,16.200422780821494
1953-03-01,54.87487033704791
1953-04-01,65.11405960182599
1953-05-01,31.156263229126193
1953-06-01,2.107886554745384
1953-07-01,0.00625
1953-08-01,0.9137679059622369
1953-09-01,0.8579197225963332
1953-10-01,12.733104428774963
1953-11-01,66.36920528439391
1953-12-01,65.30403669501142
1954-01-01,64.91127387874074
1954-02-01,85.0958308036933
1954-03-01,17.750143999976235
1954-04-01,33.79906606332159
1954-05-01,41.634215853731305
1954-06-01,0.52232069431047
1954-07-01,0.00625
1954-08-01,0.5205975560935826
1954-09-01,0.09027301078474742
1954-10-01,27.77857059591101
1954-11-01,70.90442023612731
1954-12-01,85.68227355286693
1955-01-01,66.41494349430236
1955-02-01,9.495281828033646
1955-03-01,15.619392262278987
1955-04-01,64.49332544603845
1955-05-01,17.42511244768901
1955-06-01,4.910234277558941
1955-07-01,6.997014237266945
1955-08-01,2.1135289837150903
1955-09-01,1.3744706232531596
1955-10-01,0.24749997619873998
1955-11-01,65.21540755666423
1955-12-01,215.62517178207005
1956-01-01,247.60625
1956-02-01,86.0351656713431
1956-03-01,102.08571587192701
1956-04-01,31.87264241154319
1956-05-01,2.1130354511556475
1956-06-01,13.270548706789285
1956-07-01,1.3791912798889523
1956-08-01,1.002295773786071
1956-09-01,0.172479440804894
1956-10-01,33.52601692960196
1956-11-01,21.555628129896615
1956-12-01,45.82532227644727
1957-01-01,64.97043860568212
1957-02-01,33.467285829000375
1957-03-01,94.7739757851664
1957-04-01,52.15239337886202
1957-05-01,15.734193406737385
1957-06-01,1.9738463669510509
1957-07-01,1.3727751796421597
1957-08-01,9.65
1957-09-01,8.69795269287009
1957-10-01,0.6375
1957-11-01,2.095691486049906
1957-12-01,41.641330192478996
1958-01-01,64.93164612182878
1958-02-01,18.188142783128644
1958-03-01,38.37122016159026
1958-04-01,33.541463860446136
1958-05-01,3.5453182071358906
1958-06-01,4.532083205686884
1958-07-01,2.800372384906211
1958-08-01,0.00625
1958-09-01,0.8395308353222903
1958-10-01,0.26464859476424807
1958-11-01,214.47365030544515
1958-12-01,87.61716461873986
1959-01-01,16.288435598804284
1959-02-01,1.0054320588403824
1959-03-01,24.126932963033372
1959-04-01,5.221818586424856
1959-05-01,9.65
1959-06-01,4.561853379556978
1959-07-01,9.65
1959-08-01,0.075
1959-09-01,0.075
1959-10-01,0.6433166540153156
1959-11-01,42.0610912100651
1959-12-01,64.24005854827479
1960-01-01,27.470890128599983
1960-02-01,15.696923611051306
1960-03-01,21.77703651603157
1960-04-01,47.306703462791816
1960-05-01,21.45304702663891
1960-06-01,25.958693579759167
1960-07-01,1.019312653481171
1960-08-01,0.09027301078474742
1960-09-01,15.736582625858034
1960-10-01,36.572792298353896
1960-11-01,14.465843788140564
1960-12-01,27.73995750036289
1961-01-01,1.9815509985224726
1961-02-01,59.638949661276705
1961-03-01,21.688023529170668
1961-04-01,37.54358822504848
1961-05-01,1.002455074659415
1961-06-01,0.3333333043357229
1961-07-01,0.6375
1961-08-01,0.6319699383131963
1961-09-01,0.1110141473291958
1961-10-01,3.0790128303105755
1961-11-01,31.3749603126215
1961-12-01,33.84245490983037
1962-01-01,71.18872053827009
1962-02-01,85.91267685724013
1962-03-01,36.50656459611045
1962-04-01,17.345062022173696
1962-05-01,27.146026849533346
1962-06-01,6.994261673874232
1962-07-01,0.8412603212153421
1962-08-01,2.9006928610545772
1962-09-01,0.1492570717179249
1962-10-01,0.30963519501854603
1962-11-01,42.63309784364341
1962-12-01,231.29668267806156
1963-01-01,36.617296929228964
1963-02-01,41.63859377064482
1963-03-01,55.03368851201963
1963-04-01,6.791899187233992
1963-05-01,2.4858411079677216
1963-06-01,41.53534342863394
1963-07-01,0.075
1963-08-01,2.1859562977950246
1963-09-01,0.2978849046000072
1963-10-01,0.4509773746301942
1963-11-01,27.716506145826365
1963-12-01,55.16105755918225
1964-01-01,84.41809551059423
1964-02-01,9.658853194050492
1964-03-01,26.29107279136157
1964-04-01,24.74037778268987
1964-05-01,15.866781503630039
1964-06-01,0.3568750250540331
1964-07-01,4.47695924274916
1964-08-01,0.075
1964-09-01,2.0562221766068607
1964-10-01,9.65
1964-11-01,27.619725078919476
1964-12-01,26.179557182575568
1965-01-01,36.309378408715425
1965-02-01,64.90396099465194
1965-03-01,87.57190223642915
1965-04-01,46.57642800170187
1965-05-01,26.92116450121288
1965-06-01,0.4098213934191532
1965-07-01,17.349740042151456
1965-08-01,6.9964903492301636
1965-09-01,8.696247119655203
1965-10-01,12.825598387960357
1965-11-01,95.43799148432345
1965-12-01,33.94346334501881
1966-01-01,87.79965875920904
1966-02-01,2.2608014507847902
1966-03-01,37.354842189503174
