Variable,tas
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,12.045532106735587
1951-02-01,14.198641425065976
1951-03-01,14.67551417035405
1951-04-01,16.738401683348528
1951-05-01,20.01594798706543
1951-06-01,21.400980812527063
1951-07-01,23.321150495560325
1951-08-01,20.610308134204192
1951-09-01,21.30061155083254
1951-10-01,20.02081175115179
1951-11-01,16.279037529110795
1951-12-01,15.218116424422886
1952-01-01,14.635833477538224
1952-02-01,13.43806859059764
1952-03-01,14.924806506830016
1952-04-01,15.602548031126398
1952-05-01,16.379283733736095
1952-06-01,21.300382589739446
1952-07-01,25.51828316129032
1952-08-01,22.359021628472913
1952-09-01,22.289134282432116
1952-10-01,20.373829839836908
1952-11-01,17.29520657625881
1952-12-01,14.398785890597049
1953-01-01,11.943293165392351
1953-02-01,12.422444300957125
1953-03-01,15.14021843963402
1953-04-01,15.218219734621215
1953-05-01,16.533127831784117
1953-06-01,19.73121631415533
1953-07-01,21.158449926465654
1953-08-01,23.866509547330427
1953-09-01,21.220442017086448
1953-10-01,20.86984524967206
1953-11-01,16.040108970529012
1953-12-01,14.013009366828392
1954-01-01,12.388924792546593
1954-02-01,11.542612465209531
1954-03-01,15.082298150130194
1954-04-01,17.856858040270033
1954-05-01,17.27145038158205
1954-06-01,19.995887372547127
1954-07-01,22.268797962063477
1954-08-01,23.189848901107528
1954-09-01,22.31455173166636
1954-10-01,20.310868741239194
1954-11-01,15.503272352332171
1954-12-01,13.849196938750454
1955-01-01,15.201856103721921
1955-02-01,14.638730115313182
1955-03-01,15.096180806231716
1955-04-01,15.218052287320006
1955-05-01,18.16978497357637
1955-06-01,21.279407162289946
1955-07-01,21.820781986160785
1955-08-01,22.28621872686548
1955-09-01,23.400990788254276
1955-10-01,20.597531871585563
1955-11-01,16.378333255920168
1955-12-01,14.021613836477117
1956-01-01,12.419776127557133
1956-02-01,14.623605494971489
1956-03-01,15.016659667818454
1956-04-01,15.570831858253912
1956-05-01,17.61343831557087
1956-06-01,20.287908273275868
1956-07-01,22.301133162984144
1956-08-01,22.159037516866913
1956-09-01,20.620246694896395
1956-10-01,18.84141490030242
1956-11-01,15.1401250651955
1956-12-01,12.369841664039964
1957-01-01,10.255387506451608
1957-02-01,14.482465869324296
1957-03-01,13.957620731034252
1957-04-01,16.825787616703064
1957-05-01,17.030780826853718
1957-06-01,19.25292728965158
1957-07-01,21.271096790536408
1957-08-01,22.606462390656077
1957-09-01,22.37424038745585
1957-10-01,19.700878319404254
1957-11-01,16.784964752495995
1957-12-01,15.228956922627113
1958-01-01,12.627521344228075
1958-02-01,15.17433822039056
1958-03-01,16.434378142733088
1958-04-01,17.769812528289602
1958-05-01,18.373205241339416
1958-06-01,20.226658087169476
1958-07-01,23.779768145888774
1958-08-01,23.347638867688463
1958-09-01,21.868070462878297
1958-10-01,20.556388379560076
1958-11-01,16.519495702206797
1958-12-01,11.72470054035323
1959-01-01,11.186534980033315
1959-02-01,12.528942969932451
1959-03-01,14.960198254087485
1959-04-01,16.54033731420392
1959-05-01,17.203507964420233
1959-06-01,20.21465876475687
1959-07-01,21.42518480479974
1959-08-01,24.558977960749342
1959-09-01,21.26388911883066
1959-10-01,20.480673185230806
1959-11-01,15.826508596643096
1959-12-01,14.070683669153613
1960-01-01,11.321238391143595
1960-02-01,13.979081907873752
1960-03-01,15.193173976023846
1960-04-01,15.754480763331689
1960-05-01,18.29778105290529
1960-06-01,21.68884460246769
1960-07-01,22.29749635629263
1960-08-01,23.490428616831203
1960-09-01,20.39939380719181
1960-10-01,20.36976892118343
1960-11-01,15.339252523929803
1960-12-01,13.454988725002272
1961-01-01,11.596505020748102
1961-02-01,11.260416075107171
1961-03-01,14.63491006721106
1961-04-01,17.978889520398823
1961-05-01,17.602525570850776
1961-06-01,17.666253622548695
1961-07-01,19.84442594053276
1961-08-01,21.06388361861752
1961-09-01,23.28669786438267
1961-10-01,21.846327767374003
1961-11-01,16.483150400636937
1961-12-01,13.610692726145665
1962-01-01,12.450470296828577
1962-02-01,14.057709121794542
1962-03-01,15.357914871397332
1962-04-01,16.456785637164778
1962-05-01,16.233603795309435
1962-06-01,18.79254787400716
1962-07-01,22.371246149676608
1962-08-01,22.272368756883772
1962-09-01,20.4060835899249
1962-10-01,18.974954699202407
1962-11-01,16.31907615439538
1962-12-01,13.596919823864551
1963-01-01,11.216716055632457
1963-02-01,12.604530643251145
1963-03-01,14.252898167287537
1963-04-01,15.845813185265065
1963-05-01,18.75159016346055
1963-06-01,20.95119427906879
1963-07-01,21.94753323049419
1963-08-01,22.16396271180405
1963-09-01,20.97101408246442
1963-10-01,19.582117911383246
1963-11-01,16.81555241101843
1963-12-01,12.07944694415922
1964-01-01,11.030499483935175
1964-02-01,12.702561253285555
1964-03-01,14.704313920350673
1964-04-01,15.453226081538483
1964-05-01,17.037583167130517
1964-06-01,19.937079440923586
1964-07-01,21.796447710588623
1964-08-01,22.264068386098888
1964-09-01,23.005655291066347
1964-10-01,20.155435881007094
1964-11-01,16.937386811385828
1964-12-01,15.258458148109042
1965-01-01,13.520374847325805
1965-02-01,15.180812671030143
1965-03-01,14.778809911361105
1965-04-01,14.809441343869832
1965-05-01,16.53754864858685
1965-06-01,19.73214170388913
1965-07-01,22.09953062018288
1965-08-01,21.70502551758378
1965-09-01,24.62105722225859
1965-10-01,20.172963587958005
1965-11-01,17.041722849006423
1965-12-01,13.61292651015272
1966-01-01,13.8969267686998
1966-02-01,15.099943646610487
